Time,Pitch (x),Yaw (y),Roll (z)
0,0.99019855,10.306216,1.8348389
0.05,1.1384252,10.763927,1.5066226
0.09,1.1359798,10.631873,1.5628679
0.13,1.153091,10.565058,1.6109421
0.17,1.1596084,10.496625,1.628865
0.24,1.1628695,10.459938,1.6590301
0.28,1.1710191,10.42734,1.7054826
0.33,1.1783518,10.398824,1.7046678
0.36,1.1922046,10.367859,1.722595
0.41,1.215846,10.325467,1.7380842
0.47,1.2166607,10.304283,1.7780076
0.51,1.2297014,10.272496,1.801644
0.55,1.2386663,10.240711,1.809794
0.59,1.2525188,10.216266,1.820387
0.64,1.2769564,10.203232,1.8260891
0.71,1.2989712,10.193447,1.8334274
0.75,1.318531,10.182037,1.8562472
0.78,1.3364598,10.178778,1.8546174
0.83,1.3600991,10.172256,1.8619537
0.89,1.3723214,10.158404,1.8953613
0.94,1.3845681,10.146157,1.9125067
0.97,1.4122261,10.128261,1.9238952
1.01,1.4236397,10.0932045,1.9181885
1.06,1.4366757,10.077724,1.9336686
1.13,1.4709215,10.063047,1.9467146
1.16,1.4839557,10.055716,1.9695246
1.21,1.5026973,10.043492,2.000489
1.25,1.5247049,10.040232,1.9858172
1.3,1.5483458,10.042677,1.9784803
1.36,1.5549054,10.025458,1.998159
1.39,1.553286,10.01817,2.0078757
1.44,1.5721741,10.023098,2.016088
1.49,1.5802876,9.999569,2.0363717
1.53,1.5867864,9.975199,2.0591176
1.58,1.59494,9.993952,2.0729787
1.63,1.6022711,9.986621,2.083568
1.67,1.6087971,9.982542,2.1145663
1.72,1.6299655,9.953232,2.1349206
1.77,1.6413752,9.955677,2.155295
1.81,1.6804974,9.956492,2.1593702
1.86,1.7041306,9.951603,2.1683345
1.91,1.7359105,9.9507885,2.1935954
1.95,1.7473229,9.924704,2.2107139
1.99,1.7677126,9.921441,2.220501
2.05,1.7807407,9.902713,2.2408574
2.09,1.7881078,9.894527,2.2719626
2.14,1.8205653,9.905076,2.2833228
2.19,1.8181204,9.903446,2.3257034
2.22,1.8360614,9.910786,2.3444598
2.28,1.8547969,9.916488,2.3403869
2.33,1.858887,9.889493,2.350203
2.38,1.8686295,9.890305,2.3575099
2.41,1.8645552,9.8609705,2.351806
2.45,1.8743446,9.863418,2.3754635
2.51,1.890629,9.855275,2.377092
2.56,1.9126518,9.864247,2.4007459
2.61,1.9061254,9.883826,2.4105353
2.64,1.9183257,9.900907,2.4341223
2.69,1.9582697,9.906612,2.4610233
2.75,1.9762808,9.894332,2.492952
2.8,1.9827701,9.888654,2.4832182
2.83,2.0072446,9.900891,2.474244
2.88,2.0252895,9.914015,2.4939296
2.94,2.0342083,9.913204,2.5093346
2.99,2.0504787,9.924594,2.5028265
3.03,2.0839093,9.953132,2.5272877
3.06,2.0782068,9.9458,2.5370634
3.11,2.0831144,9.952343,2.5297017
3.17,2.0985487,9.948281,2.5443237
3.22,2.1132135,9.953984,2.557359
3.25,2.1229925,9.95317,2.5866957
3.3,2.1410236,9.959726,2.5883348
3.34,2.1701655,9.9718685,2.5956204
3.41,2.1864731,9.975945,2.6086664
3.45,2.1930206,9.980038,2.607848
3.49,2.2019467,9.971111,2.6257005
3.53,2.2076519,9.958886,2.6346657
3.58,2.2256098,9.946642,2.6289518
3.64,2.2410777,9.949084,2.6566312
3.67,2.2508628,9.956423,2.6444
3.72,2.2737992,9.9474125,2.6706128
3.77,2.2860081,9.960435,2.6803799
3.81,2.285195,9.959621,2.6901374
3.86,2.3095813,9.970189,2.7007048
3.91,2.3340452,9.979159,2.7104905
3.95,2.3413754,9.970201,2.721893
4,2.3527844,9.982425,2.7251527
4.05,2.3650143,9.979163,2.756135
4.09,2.382936,9.966129,2.7740567
4.14,2.4001353,9.976776,2.7830658
4.19,2.4269018,9.9840765,2.79361
4.24,2.4350495,10.00852,2.7813883
4.27,2.4432395,10.007701,2.786302
4.33,2.4521618,10.015001,2.7773798
4.38,2.4570513,10.02478,2.7961226
4.42,2.476638,10.0092745,2.8050997
4.47,2.4912887,10.027995,2.8124251
4.5,2.4921036,10.038589,2.8222034
4.56,2.5084844,10.048417,2.8688884
4.61,2.50524,10.036251,2.887543
4.66,2.5093143,10.0468445,2.8761346
4.69,2.515019,10.043585,2.889174
4.74,2.5191126,10.026391,2.9235609
4.8,2.5305016,10.014189,2.941458
4.84,2.5280635,10.023941,2.9333308
4.89,2.545991,10.03209,2.9545178
4.92,2.5754561,10.0500965,2.9676135
4.99,2.5901518,10.038667,2.9790435
5.03,2.6039257,10.062974,2.980664
5.08,2.593332,10.076013,2.987998
5.11,2.6031191,10.076828,2.992076
5.16,2.6308591,10.085803,3.0018666
5.22,2.655278,10.063827,3.0091922
5.27,2.6609838,10.052415,3.028755
5.31,2.6642416,10.087437,3.0450442
5.34,2.6780953,10.076842,3.068677
5.39,2.6805506,10.079298,3.074406
5.45,2.6813622,10.098775,3.0833328
5.5,2.6829927,10.111005,3.10127
5.53,2.6919534,10.11019,3.1151183
5.58,2.7017372,10.106929,3.1191947
5.63,2.7033672,10.096333,3.1526122
5.69,2.723742,10.111817,3.1835818
5.74,2.7310767,10.097962,3.2055862
5.77,2.760402,10.103664,3.221878
5.81,2.7799609,10.111814,3.240622
5.86,2.7930055,10.126489,3.2504056
5.92,2.818261,10.159891,3.22515
5.95,2.8321142,10.155817,3.2308545
6,2.8255935,10.141146,3.2438958
6.05,2.8288548,10.159082,3.2740622
6.09,2.8370016,10.156638,3.2879117
6.14,2.8500395,10.151749,3.305024
6.19,2.8688178,10.1493,3.309106
6.24,2.8916097,10.147672,3.331084
6.28,2.9005692,10.164776,3.3595915
6.33,2.8997543,10.178631,3.3636663
6.38,2.90872,10.179446,3.3840427
6.42,2.91524,10.186781,3.405233
6.47,2.9217594,10.190041,3.4223459
6.51,2.9307258,10.220201,3.4337578
6.55,2.9437635,10.214497,3.4467955
6.61,2.9543653,10.230807,3.477785
6.66,2.9755409,10.236508,3.4704552
